player_id,club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,url
193830,1075,iuri-medeiros,Iuri Medeiros,Portugal,Portugal,1994-07-10,Attack,Right Winger,Left,174,https://www.transfermarkt.co.uk/iuri-medeiros/profil/spieler/193830
176485,1075,lucas-piazon,Lucas Piazon,Brazil,Brazil,1994-01-20,Midfield,Attacking Midfield,Right,182,https://www.transfermarkt.co.uk/lucas-piazon/profil/spieler/176485
140032,294,andreas-samaris,Andreas Samaris,Greece,Greece,1989-06-13,Midfield,Defensive Midfield,Right,189,https://www.transfermarkt.co.uk/andreas-samaris/profil/spieler/140032
340376,1075,abel-ruiz,Abel Ruiz,Spain,Spain,2000-01-28,Attack,Centre-Forward,Right,180,https://www.transfermarkt.co.uk/abel-ruiz/profil/spieler/340376
139395,1075,ricardo-esgaio,Ricardo Esgaio,Portugal,Portugal,1993-05-16,Defender,Right-Back,Right,173,https://www.transfermarkt.co.uk/ricardo-esgaio/profil/spieler/139395
64339,294,pizzi,Pizzi,Portugal,Portugal,1989-10-06,Midfield,Attacking Midfield,Right,177,https://www.transfermarkt.co.uk/pizzi/profil/spieler/64339
629773,1075,lukas-hornicek,Lukas Hornicek,Czech Republic,Czech Republic,2002-07-13,Goalkeeper,,Right,197,https://www.transfermarkt.co.uk/lukas-hornicek/profil/spieler/629773
124419,294,odysseas-vlachodimos,Odysseas Vlachodimos,Germany,Greece,1994-04-26,Goalkeeper,,Right,191,https://www.transfermarkt.co.uk/odysseas-vlachodimos/profil/spieler/124419
507517,1075,dion-mcghee,Dion Mcghee,England,England,2000-09-14,Midfield,Attacking Midfield,Left,178,https://www.transfermarkt.co.uk/dion-mcghee/profil/spieler/507517
338670,294,mile-svilar,Mile Svilar,Belgium,Belgium,1999-08-27,Goalkeeper,,Right,189,https://www.transfermarkt.co.uk/mile-svilar/profil/spieler/338670
179860,1075,andraz-sporar,Andraz Sporar,Slovenia,Slovenia,1994-02-27,Attack,Centre-Forward,Right,186,https://www.transfermarkt.co.uk/andraz-sporar/profil/spieler/179860
228940,1075,joao-novais,Joao Novais,Portugal,Portugal,1993-07-10,Midfield,Attacking Midfield,Right,180,https://www.transfermarkt.co.uk/joao-novais/profil/spieler/228940
731879,1075,hernani-infande,Hernani Infande,Guinea-Bissau,Portugal,2001-04-03,Attack,Right Winger,Right,0,https://www.transfermarkt.co.uk/hernani-infande/profil/spieler/731879
498237,1075,david-carmo,David Carmo,Portugal,Portugal,1999-07-19,Defender,Centre-Back,Left,196,https://www.transfermarkt.co.uk/david-carmo/profil/spieler/498237
193303,1075,nuno-sequeira,Nuno Sequeira,Portugal,Portugal,1990-08-19,Defender,Left-Back,Left,184,https://www.transfermarkt.co.uk/nuno-sequeira/profil/spieler/193303
9335,1075,rui-fonte,Rui Fonte,Norte,Portugal,1990-04-23,Attack,Centre-Forward,Right,180,https://www.transfermarkt.co.uk/rui-fonte/profil/spieler/9335
586853,1075,vitor-oliveira,Vitor Oliveira,Portugal,Portugal,2000-03-15,Attack,Centre-Forward,Right,178,https://www.transfermarkt.co.uk/vitor-oliveira/profil/spieler/586853
342843,1075,caju,Caju,Brazil,Brazil,1995-07-17,Defender,Left-Back,Left,183,https://www.transfermarkt.co.uk/caju/profil/spieler/342843
478365,1075,francisco-moura,Francisco Moura,Portugal,Portugal,1999-08-16,Defender,Left-Back,Left,181,https://www.transfermarkt.co.uk/francisco-moura/profil/spieler/478365
377641,1075,al-musrati,Al Musrati,Libya,Libya,1996-04-06,Midfield,Defensive Midfield,Right,189,https://www.transfermarkt.co.uk/al-musrati/profil/spieler/377641
111828,1075,fransergio,Fransergio,Brazil,Brazil,1990-10-18,Midfield,Central Midfield,Right,187,https://www.transfermarkt.co.uk/fransergio/profil/spieler/111828
657386,1075,bruno-rodrigues,Bruno Rodrigues,Portugal,Portugal,2001-06-08,Defender,Centre-Back,Right,192,https://www.transfermarkt.co.uk/bruno-rodrigues/profil/spieler/657386
603149,1075,mohammad-mohebi,Mohammad Mohebi,Iran,Iran,1998-12-20,Attack,Left Winger,Left,176,https://www.transfermarkt.co.uk/mohammad-mohebi/profil/spieler/603149
329722,1075,andre-horta,Andre Horta,Portugal,Portugal,1996-11-07,Midfield,Central Midfield,Right,175,https://www.transfermarkt.co.uk/andre-horta/profil/spieler/329722
617679,1075,ze-carlos,Ze Carlos,,Portugal,1998-07-31,Defender,Right-Back,Right,177,https://www.transfermarkt.co.uk/ze-carlos/profil/spieler/617679
27300,1075,rolando,Rolando,Cape Verde,Portugal,1985-08-31,Defender,Centre-Back,Right,189,https://www.transfermarkt.co.uk/rolando/profil/spieler/27300
454121,1075,galeno,Galeno,Brazil,Brazil,1997-10-22,Midfield,Left Midfield,Right,179,https://www.transfermarkt.co.uk/galeno/profil/spieler/454121
164705,1075,raul-silva,Raul Silva,Brazil,Brazil,1989-11-04,Defender,Centre-Back,Left,187,https://www.transfermarkt.co.uk/raul-silva/profil/spieler/164705
356099,1075,cristian-borja,Cristian Borja,Colombia,Colombia,1993-02-18,Defender,Left-Back,Left,180,https://www.transfermarkt.co.uk/cristian-borja/profil/spieler/356099
286908,1075,tiago-sa,Tiago Sa,Moure,Portugal,1995-01-11,Goalkeeper,,Right,186,https://www.transfermarkt.co.uk/tiago-sa/profil/spieler/286908
177547,1075,matheus,Matheus,Brazil,Brazil,1992-07-19,Goalkeeper,,Right,190,https://www.transfermarkt.co.uk/matheus/profil/spieler/177547
220722,1075,eduardo,Eduardo,Ceará,Brazil,1993-06-07,Midfield,Attacking Midfield,Left,178,https://www.transfermarkt.co.uk/eduardo/profil/spieler/220722
239951,1075,andrej-lukic,Andrej Lukic,Croatia,Croatia,1994-04-02,Defender,Centre-Back,Right,190,https://www.transfermarkt.co.uk/andrej-lukic/profil/spieler/239951
